month,days,mean_ssn,max_ssn
1827-12,25,76.84,145.0
1828-01,18,88.0,177.0
1828-02,22,107.273,140.0
1828-03,24,108.458,215.0
1828-04,29,101.862,198.0
1828-05,27,148.593,263.0
1828-06,26,163.385,295.0
1828-07,31,90.355,212.0
1828-08,31,127.323,193.0
1828-09,30,83.933,132.0
1828-10,26,91.115,170.0
1828-11,22,94.955,168.0
1828-12,15,78.133,143.0
1829-01,14,71.571,118.0
1829-02,20,82.3,157.0
1829-03,26,120.615,227.0
1829-04,29,158.414,227.0
1829-05,29,112.345,263.0
1829-06,28,123.179,385.0
1829-07,28,151.536,233.0
1829-08,27,129.296,268.0
1829-09,26,88.038,193.0
1829-10,23,95.348,137.0
1829-11,19,112.737,218.0
1829-12,22,94.091,163.0
1830-01,17,87.0,245.0
1830-02,18,120.056,193.0
1830-03,20,140.95,195.0
1830-04,26,177.308,327.0
1830-05,28,110.5,222.0
1830-06,27,108.444,153.0
1830-07,26,73.154,118.0
1830-08,25,84.6,143.0
1830-09,24,103.417,158.0
1830-10,25,140.6,245.0
1830-11,19,135.421,225.0
1830-12,13,136.846,198.0
1831-01,22,79.045,217.0
1831-02,21,83.571,208.0
1831-03,25,155.76,240.0
1831-04,27,90.852,162.0
1831-05,31,63.387,130.0
1831-06,27,55.556,127.0
1831-07,29,75.414,268.0
1831-08,28,91.607,162.0
1831-09,22,63.227,123.0
1831-10,23,77.087,132.0
1831-11,15,72.533,118.0
1831-12,15,48.267,118.0
1832-01,11,51.455,117.0
1832-02,23,92.609,158.0
1832-03,21,91.857,182.0
1832-04,27,44.815,107.0
1832-05,28,68.857,135.0
1832-06,22,44.545,82.0
1832-07,25,23.28,58.0
1832-08,31,14.774,50.0
1832-09,29,13.655,50.0
1832-10,25,35.2,70.0
1832-11,18,23.833,83.0
1832-12,17,45.824,112.0
1833-01,22,18.727,83.0
1833-02,21,24.905,67.0
1833-03,19,19.579,53.0
1833-04,27,4.63,27.0
1833-05,28,21.464,57.0
1833-06,30,1.667,25.0
1833-07,27,11.593,52.0
1833-08,30,9.5,37.0
1833-09,16,19.312,102.0
1833-10,29,12.483,68.0
1833-11,24,9.75,25.0
1833-12,19,16.579,35.0
1834-01,11,8.182,40.0
1834-02,20,30.1,68.0
1834-03,24,6.5,53.0
1834-04,25,2.4,35.0
1834-05,30,14.767,57.0
1834-06,28,13.071,40.0
1834-07,22,14.409,65.0
1834-08,29,6.621,32.0
1834-09,21,19.19,37.0
1834-10,20,41.25,98.0
1834-11,15,50.933,143.0
1834-12,15,57.467,128.0
1835-01,22,12.364,73.0
1835-02,15,40.733,78.0
1835-03,18,32.667,82.0
1835-04,14,102.357,153.0
1835-05,22,72.591,200.0
1835-06,17,55.176,92.0
1835-07,13,99.615,173.0
1835-08,2,98.5,105.0
1835-09,11,168.0,253.0
1835-10,16,158.625,282.0
1835-11,15,166.667,257.0
1835-12,8,129.25,202.0
1836-01,17,147.647,218.0
1836-02,14,179.357,253.0
1836-03,12,163.667,278.0
1836-04,16,238.0,345.0
1836-05,23,185.696,310.0
1836-06,15,207.933,307.0
1836-07,15,194.6,262.0
1836-08,16,179.625,312.0
1836-09,12,158.5,327.0
1836-10,11,228.909,383.0
1836-11,11,201.545,262.0
1836-12,4,343.75,368.0
1837-01,10,313.4,395.0
1837-02,13,292.615,435.0
1837-03,12,224.333,283.0
1837-04,10,230.3,293.0
1837-05,15,186.067,298.0
1837-06,18,263.389,393.0
1837-07,9,271.222,393.0
1837-08,11,223.455,292.0
1837-09,19,160.368,248.0
1837-10,18,206.167,307.0
1837-11,7,178.429,243.0
1837-12,8,216.125,353.0
1838-01,11,241.455,383.0
1838-02,18,141.333,360.0
1838-03,12,234.5,407.0
1838-04,16,211.062,392.0
1838-05,20,229.35,282.0
1838-06,19,157.579,237.0
1838-07,21,180.429,260.0
1838-08,15,131.267,250.0
1838-09,23,122.696,210.0
1838-10,16,151.5,262.0
1838-11,16,129.188,237.0
1838-12,14,132.929,207.0
1839-01,15,175.933,302.0
1839-02,12,170.75,250.0
1839-03,15,129.467,232.0
1839-04,14,102.929,133.0
1839-05,22,89.591,132.0
1839-06,20,91.15,145.0
1839-07,25,141.28,265.0
1839-08,17,218.765,353.0
1839-09,18,221.111,398.0
1839-10,16,151.5,292.0
1839-11,11,114.727,177.0
1839-12,9,106.222,237.0
1840-01,18,135.444,193.0
1840-02,14,146.143,238.0
1840-03,18,112.944,197.0
1840-04,21,109.81,215.0
1840-05,22,115.364,207.0
1840-06,27,80.889,123.0
1840-07,23,101.043,183.0
1840-08,24,96.417,200.0
1840-09,20,123.25,240.0
1840-10,19,91.684,195.0
1840-11,20,90.4,150.0
1840-12,22,89.5,153.0
1841-01,15,40.067,92.0
1841-02,20,49.9,102.0
1841-03,22,49.591,118.0
1841-04,28,66.929,128.0
1841-05,27,112.444,160.0
1841-06,24,92.75,128.0
1841-07,27,51.37,112.0
1841-08,28,65.357,110.0
1841-09,28,60.893,157.0
1841-10,19,47.421,103.0
1841-11,20,32.9,62.0
1841-12,19,64.842,150.0
1842-01,20,33.95,108.0
1842-02,22,36.818,83.0
1842-03,25,36.16,125.0
1842-04,30,44.933,107.0
1842-05,31,41.387,120.0
1842-06,30,34.167,58.0
1842-07,31,21.032,92.0
1842-08,31,44.419,73.0
1842-09,28,30.607,75.0
1842-10,23,63.478,102.0
1842-11,25,67.48,132.0
1842-12,15,29.267,78.0
1843-01,22,22.182,60.0
1843-02,14,5.857,27.0
1843-03,29,13.862,52.0
1843-04,29,15.828,50.0
1843-05,30,35.133,85.0
1843-06,30,17.567,48.0
1843-07,31,15.871,50.0
1843-08,31,19.581,68.0
1843-09,30,6.933,33.0
1843-10,31,8.871,53.0
1843-11,27,31.741,75.0
1843-12,16,21.188,82.0
1844-01,24,15.708,45.0
1844-02,22,24.545,67.0
1844-03,21,22.524,60.0
1844-04,28,34.607,98.0
1844-05,25,19.24,37.0
1844-06,29,6.172,57.0
1844-07,29,35.207,143.0
1844-08,28,39.679,128.0
1844-09,27,11.593,65.0
1844-10,25,35.88,132.0
1844-11,16,17.875,75.0
1844-12,20,36.0,78.0
1845-01,17,42.765,95.0
1845-02,17,72.824,137.0
1845-03,22,72.091,118.0
1845-04,25,95.04,152.0
1845-05,27,79.667,192.0
1845-06,25,51.84,120.0
1845-07,24,51.042,128.0
1845-08,27,53.889,168.0
1845-09,26,49.346,125.0
1845-10,19,67.789,135.0
1845-11,23,65.696,127.0
1845-12,13,99.462,135.0
1846-01,19,64.579,140.0
1846-02,21,84.857,198.0
1846-03,22,106.5,193.0
1846-04,19,115.474,258.0
1846-05,21,99.905,217.0
1846-06,28,108.429,193.0
1846-07,26,77.462,123.0
1846-08,26,91.308,252.0
1846-09,23,178.565,270.0
1846-10,16,93.438,157.0
1846-11,16,100.625,228.0
1846-12,10,109.1,167.0
1847-01,11,104.364,243.0
1847-02,10,74.9,162.0
1847-03,19,143.0,290.0
1847-04,20,74.55,158.0
1847-05,26,125.731,242.0
1847-06,25,142.16,195.0
1847-07,25,87.08,195.0
1847-08,28,234.286,423.0
1847-09,15,268.2,385.0
1847-10,19,300.632,408.0
1847-11,20,231.5,352.0
1847-12,14,182.643,348.0
1848-01,14,265.214,315.0
1848-02,13,186.385,242.0
1848-03,17,181.176,235.0
1848-04,18,178.556,227.0
1848-05,27,170.481,235.0
1848-06,24,214.917,303.0
1848-07,27,231.963,353.0
1848-08,21,220.905,327.0
1848-09,20,167.25,262.0
1848-10,13,220.615,312.0
1848-11,16,191.0,340.0
1848-12,24,265.833,353.0
1849-01,31,298.29,437.0
1849-02,28,250.25,361.0
1849-03,31,182.742,323.0
1849-04,30,194.7,338.0
1849-05,31,153.194,247.0
1849-06,30,154.167,293.0
1849-07,31,148.194,256.0
1849-08,31,128.581,199.0
1849-09,30,178.033,283.0
1849-10,31,135.71,228.0
1849-11,30,188.167,388.0
1849-12,31,184.258,291.0
1850-01,31,148.226,270.0
1850-02,28,169.75,293.0
1850-03,31,156.839,319.0
1850-04,30,83.833,190.0
1850-05,31,117.032,203.0
1850-06,30,133.0,279.0
1850-07,31,74.323,217.0
1850-08,31,117.032,163.0
1850-09,30,163.7,239.0
1850-10,31,134.903,232.0
1850-11,30,104.1,232.0
1850-12,31,115.871,192.0
1851-01,31,143.452,289.0
1851-02,28,200.071,294.0
1851-03,31,122.806,182.0
1851-04,30,107.333,213.0
1851-05,31,118.935,203.0
1851-06,30,120.0,205.0
1851-07,31,68.645,156.0
1851-08,31,108.968,173.0
1851-09,30,128.867,228.0
1851-10,31,118.71,258.0
1851-11,30,96.8,190.0
1851-12,31,135.484,224.0
1852-01,31,129.871,241.0
1852-02,29,126.207,274.0
1852-03,31,116.226,182.0
1852-04,30,124.267,222.0
1852-05,31,104.323,184.0
1852-06,30,89.0,152.0
1852-07,31,80.0,133.0
1852-08,31,75.323,131.0
1852-09,30,71.2,167.0
1852-10,31,127.935,277.0
1852-11,30,103.067,199.0
1852-12,31,86.129,211.0
1853-01,31,77.903,182.0
1853-02,28,81.464,162.0
1853-03,31,71.581,142.0
1853-04,30,90.4,150.0
1853-05,31,65.871,135.0
1853-06,30,75.967,173.0
1853-07,31,87.194,150.0
1853-08,31,95.839,167.0
1853-09,30,63.667,129.0
1853-10,31,80.452,144.0
1853-11,30,54.733,84.0
1853-12,31,44.516,101.0
1854-01,31,29.258,65.0
1854-02,28,38.036,82.0
1854-03,31,39.387,85.0
1854-04,30,50.3,106.0
1854-05,31,45.613,103.0
1854-06,30,40.067,89.0
1854-07,31,35.452,78.0
1854-08,31,30.065,65.0
1854-09,30,42.6,108.0
1854-10,31,24.065,101.0
1854-11,30,53.5,124.0
1854-12,31,41.097,99.0
1855-01,31,23.387,84.0
1855-02,28,21.607,78.0
1855-03,31,33.032,84.0
1855-04,30,8.367,40.0
1855-05,31,17.29,104.0
1855-06,30,10.0,48.0
1855-07,31,0.677,21.0
1855-08,31,5.935,40.0
1855-09,30,0.0,0.0
1855-10,31,18.323,53.0
1855-11,30,7.933,36.0
1855-12,31,5.806,59.0
1856-01,31,0.968,30.0
1856-02,29,9.31,30.0
1856-03,31,0.742,23.0
1856-04,30,12.367,51.0
1856-05,31,0.0,0.0
1856-06,30,9.8,55.0
1856-07,31,8.806,28.0
1856-08,31,11.323,49.0
1856-09,30,8.433,36.0
1856-10,31,8.548,51.0
1856-11,30,14.733,44.0
1856-12,31,13.742,61.0
1857-01,31,26.032,66.0
1857-02,28,14.214,51.0
1857-03,31,9.968,27.0
1857-04,30,21.067,61.0
1857-05,31,54.226,142.0
1857-06,30,30.467,76.0
1857-07,31,42.161,91.0
1857-08,31,32.0,74.0
1857-09,30,80.567,135.0
1857-10,31,77.065,180.0
1857-11,30,59.567,129.0
1857-12,31,70.677,150.0
1858-01,31,74.226,162.0
1858-02,28,66.25,125.0
1858-03,31,109.161,236.0
1858-04,30,72.8,141.0
1858-05,31,78.645,169.0
1858-06,30,84.5,188.0
1858-07,31,107.742,171.0
1858-08,31,104.935,190.0
1858-09,30,152.2,270.0
1858-10,31,173.226,256.0
1858-11,30,98.6,184.0
1858-12,31,127.032,228.0
1859-01,31,159.0,238.0
1859-02,28,166.393,266.0
1859-03,31,171.516,283.0
1859-04,30,162.867,289.0
1859-05,31,172.839,260.0
1859-06,30,165.233,315.0
1859-07,31,180.742,315.0
1859-08,31,203.0,312.0
1859-09,30,200.867,293.0
1859-10,31,217.774,308.0
1859-11,30,184.633,266.0
1859-12,31,153.935,274.0
1860-01,31,156.645,234.0
1860-02,29,167.897,314.0
1860-03,31,187.968,293.0
1860-04,30,135.667,198.0
1860-05,31,203.484,308.0
1860-06,30,206.333,418.0
1860-07,31,221.903,350.0
1860-08,31,190.484,293.0
1860-09,30,175.2,274.0
1860-10,31,171.129,270.0
1860-11,30,186.033,298.0
1860-12,31,181.71,314.0
1861-01,31,118.452,188.0
1861-02,28,147.536,245.0
1861-03,31,192.032,342.0
1861-04,30,187.067,378.0
1861-05,31,107.806,251.0
1861-06,30,167.5,287.0
1861-07,31,148.226,217.0
1861-08,31,156.71,293.0
1861-09,30,151.867,241.0
1861-10,31,127.677,207.0
1861-11,30,102.0,194.0
1861-12,31,152.839,262.0
1862-01,31,119.903,173.0
1862-02,28,122.429,190.0
1862-03,31,82.677,182.0
1862-04,30,102.1,173.0
1862-05,31,122.419,184.0
1862-06,30,159.7,230.0
1862-07,31,139.452,207.0
1862-08,31,118.677,224.0
1862-09,30,126.433,241.0
1862-10,31,79.774,177.0
1862-11,30,96.033,163.0
1862-12,31,77.613,152.0
1863-01,31,91.774,196.0
1863-02,28,107.679,199.0
1863-03,31,126.0,196.0
1863-04,30,77.1,144.0
1863-05,31,102.129,142.0
1863-06,30,77.567,173.0
1863-07,31,62.032,116.0
1863-08,31,91.258,150.0
1863-09,30,41.733,82.0
1863-10,31,75.742,142.0
1863-11,30,71.6,139.0
1863-12,31,78.129,188.0
1864-01,31,109.677,224.0
1864-02,29,89.483,165.0
1864-03,31,125.935,207.0
1864-04,30,68.1,110.0
1864-05,31,77.097,139.0
1864-06,30,109.867,274.0
1864-07,31,103.839,224.0
1864-08,31,104.065,255.0
1864-09,30,54.167,101.0
1864-10,31,64.387,141.0
1864-11,30,109.333,190.0
1864-12,31,54.323,171.0
1865-01,31,92.516,215.0
1865-02,28,74.607,156.0
1865-03,31,74.968,167.0
1865-04,30,55.933,135.0
1865-05,31,65.613,129.0
1865-06,30,63.767,146.0
1865-07,31,50.806,137.0
1865-08,31,71.839,171.0
1865-09,30,41.033,91.0
1865-10,31,32.548,101.0
1865-11,30,46.667,108.0
1865-12,31,24.29,80.0
1866-01,31,60.0,97.0
1866-02,28,72.929,224.0
1866-03,31,46.581,108.0
1866-04,30,33.533,68.0
1866-05,31,24.645,51.0
1866-06,30,31.367,72.0
1866-07,31,17.645,59.0
1866-08,31,24.226,57.0
1866-09,30,13.933,55.0
1866-10,31,26.774,61.0
1866-11,30,17.167,61.0
1866-12,31,2.903,27.0
1867-01,31,0.0,0.0
1867-02,28,1.357,19.0
1867-03,31,17.419,48.0
1867-04,30,9.667,49.0
1867-05,31,5.548,36.0
1867-06,30,2.8,27.0
1867-07,31,9.452,30.0
1867-08,31,9.065,42.0
1867-09,30,18.7,65.0
1867-10,31,25.484,103.0
1867-11,30,18.133,65.0
1867-12,31,47.871,150.0
1868-01,31,25.903,100.0
1868-02,29,26.345,62.0
1868-03,31,44.032,83.0
1868-04,30,61.1,120.0
1868-05,31,44.516,102.0
1868-06,30,51.8,118.0
1868-07,31,48.323,113.0
1868-08,31,57.29,123.0
1868-09,30,78.667,137.0
1868-10,31,102.774,245.0
1868-11,30,98.667,228.0
1868-12,31,112.774,227.0
1869-01,31,101.613,185.0
1869-02,28,99.893,212.0
1869-03,31,87.968,188.0
1869-04,30,68.433,185.0
1869-05,31,173.387,272.0
1869-06,30,180.7,320.0
1869-07,31,98.806,237.0
1869-08,31,132.742,282.0
1869-09,30,134.467,262.0
1869-10,31,99.032,183.0
1869-11,30,130.233,225.0
1869-12,31,174.129,312.0
1870-01,31,128.968,202.0
1870-02,28,191.679,317.0
1870-03,31,262.677,340.0
1870-04,30,266.9,427.0
1870-05,31,293.581,412.0
1870-06,30,226.3,347.0
1870-07,31,220.935,342.0
1870-08,31,256.548,528.0
1870-09,30,226.8,463.0
1870-10,31,244.258,367.0
1870-11,30,246.033,425.0
1870-12,31,216.71,362.0
1871-01,31,147.194,222.0
1871-02,28,208.964,292.0
1871-03,31,238.742,337.0
1871-04,30,270.9,352.0
1871-05,31,242.613,327.0
1871-06,30,152.933,282.0
1871-07,31,171.806,282.0
1871-08,31,183.71,312.0
1871-09,30,133.867,238.0
1871-10,31,148.484,255.0
1871-11,30,175.667,285.0
1871-12,31,150.774,252.0
1872-01,31,132.677,225.0
1872-02,29,200.345,280.0
1872-03,31,147.484,268.0
1872-04,30,170.433,255.0
1872-05,31,179.452,282.0
1872-06,30,183.333,290.0
1872-07,31,175.968,327.0
1872-08,31,155.032,247.0
1872-09,30,191.1,272.0
1872-10,31,171.161,292.0
1872-11,30,186.8,290.0
1872-12,31,139.871,250.0
1873-01,31,144.581,268.0
1873-02,28,178.429,280.0
1873-03,31,164.032,292.0
1873-04,30,127.1,177.0
1873-05,31,79.968,200.0
1873-06,30,74.8,162.0
1873-07,31,111.677,237.0
1873-08,31,113.774,197.0
1873-09,30,78.7,137.0
1873-10,31,78.613,137.0
1873-11,30,92.467,180.0
1873-12,31,82.032,145.0
1874-01,31,101.387,182.0
1874-02,28,107.143,177.0
1874-03,31,77.516,145.0
1874-04,30,53.533,117.0
1874-05,31,74.581,150.0
1874-06,30,63.767,178.0
1874-07,31,113.226,210.0
1874-08,31,102.258,167.0
1874-09,30,46.833,120.0
1874-10,31,57.419,112.0
1874-11,30,48.2,85.0
1874-12,31,48.774,115.0
1875-01,31,24.419,82.0
1875-02,28,35.857,92.0
1875-03,31,56.387,90.0
1875-04,30,48.6,95.0
1875-05,31,19.226,67.0
1875-06,30,39.933,85.0
1875-07,31,20.903,57.0
1875-08,31,24.419,60.0
1875-09,30,3.967,32.0
1875-10,31,21.323,62.0
1875-11,30,29.567,138.0
1875-12,31,16.484,65.0
1876-01,31,23.935,87.0
1876-02,29,25.138,112.0
1876-03,31,51.065,132.0
1876-04,30,3.933,32.0
1876-05,31,8.516,30.0
1876-06,30,2.733,27.0
1876-07,31,25.548,65.0
1876-08,31,14.774,60.0
1876-09,30,16.6,48.0
1876-10,31,23.871,42.0
1876-11,30,16.567,60.0
1876-12,31,13.645,65.0
1877-01,31,40.645,93.0
1877-02,28,14.5,37.0
1877-03,31,19.871,60.0
1877-04,30,26.267,68.0
1877-05,31,36.065,60.0
1877-06,30,23.567,43.0
1877-07,31,10.032,38.0
1877-08,31,10.516,30.0
1877-09,30,28.133,52.0
1877-10,31,11.161,75.0
1877-11,30,23.633,73.0
1877-12,31,3.548,25.0
1878-01,31,5.548,30.0
1878-02,28,11.036,65.0
1878-03,31,13.065,48.0
1878-04,30,0.167,5.0
1878-05,31,9.871,72.0
1878-06,30,10.7,53.0
1878-07,31,0.226,7.0
1878-08,31,0.0,0.0
1878-09,30,8.8,27.0
1878-10,31,1.903,22.0
1878-11,30,6.8,27.0
1878-12,31,0.935,27.0
1879-01,31,1.645,23.0
1879-02,28,0.929,13.0
1879-03,31,0.0,0.0
1879-04,30,10.4,42.0
1879-05,31,4.032,27.0
1879-06,30,7.967,45.0
1879-07,31,12.581,53.0
1879-08,31,17.903,60.0
1879-09,30,10.067,27.0
1879-10,31,20.419,58.0
1879-11,30,21.867,63.0
1879-12,31,12.194,35.0
1880-01,31,40.129,85.0
1880-02,29,45.379,117.0
1880-03,31,32.097,82.0
1880-04,30,32.433,73.0
1880-05,31,39.097,83.0
1880-06,30,56.9,102.0
1880-07,31,36.548,75.0
1880-08,31,80.258,157.0
1880-09,30,110.067,183.0
1880-10,31,71.677,127.0
1880-11,30,51.133,98.0
1880-12,31,49.387,95.0
1881-01,31,60.613,130.0
1881-02,28,88.607,130.0
1881-03,31,85.774,242.0
1881-04,30,86.067,147.0
1881-05,31,72.548,142.0
1881-06,30,100.8,153.0
1881-07,31,128.161,203.0
1881-08,31,97.29,230.0
1881-09,30,88.567,183.0
1881-10,31,107.258,177.0
1881-11,30,91.467,187.0
1881-12,31,78.839,165.0
1882-01,31,74.968,108.0
1882-02,28,115.857,190.0
1882-03,31,111.484,192.0
1882-04,30,159.567,273.0
1882-05,31,106.903,208.0
1882-06,30,75.433,167.0
1882-07,31,75.677,137.0
1882-08,31,67.452,130.0
1882-09,30,96.067,185.0
1882-10,31,98.645,172.0
1882-11,30,140.567,232.0
1882-12,31,69.71,145.0
1883-01,31,101.032,165.0
1883-02,28,78.214,148.0
1883-03,31,71.323,130.0
1883-04,30,136.767,190.0
1883-05,31,52.516,100.0
1883-06,30,127.233,192.0
1883-07,31,134.355,242.0
1883-08,31,76.613,162.0
1883-09,30,87.767,183.0
1883-10,31,139.613,262.0
1883-11,30,140.8,222.0
1883-12,31,126.484,212.0
1884-01,31,152.581,277.0
1884-02,29,144.828,203.0
1884-03,31,145.774,230.0
1884-04,30,126.9,180.0
1884-05,31,110.903,175.0
1884-06,30,85.333,128.0
1884-07,31,88.452,175.0
1884-08,31,93.065,162.0
1884-09,30,103.133,163.0
1884-10,31,79.581,133.0
1884-11,30,60.933,113.0
1884-12,31,78.581,123.0
1885-01,31,71.387,142.0
1885-02,28,119.679,177.0
1885-03,31,82.935,167.0
1885-04,30,91.7,150.0
1885-05,31,121.645,192.0
1885-06,30,139.467,195.0
1885-07,31,110.871,152.0
1885-08,31,83.452,147.0
1885-09,30,66.033,125.0
1885-10,31,64.516,125.0
1885-11,30,51.567,100.0
1885-12,31,36.258,90.0
1886-01,31,49.839,132.0
1886-02,28,43.179,85.0
1886-03,31,95.484,198.0
1886-04,30,72.9,157.0
1886-05,31,51.226,117.0
1886-06,30,45.3,80.0
1886-07,31,50.387,100.0
1886-08,31,28.065,115.0
1886-09,30,35.667,77.0
1886-10,31,14.419,55.0
1886-11,30,0.567,7.0
1886-12,31,21.742,72.0
1887-01,31,17.0,40.0
1887-02,28,21.964,50.0
1887-03,31,7.065,30.0
1887-04,30,11.567,45.0
1887-05,31,33.387,82.0
1887-06,30,26.1,53.0
1887-07,31,38.903,98.0
1887-08,31,35.71,95.0
1887-09,30,12.4,40.0
1887-10,31,10.968,38.0
1887-11,30,11.5,55.0
1887-12,31,34.516,70.0
1888-01,31,21.161,60.0
1888-02,29,11.793,45.0
1888-03,31,13.065,65.0
1888-04,30,8.467,45.0
1888-05,31,11.742,42.0
1888-06,30,11.767,37.0
1888-07,31,5.032,32.0
1888-08,31,4.645,35.0
1888-09,30,14.567,35.0
1888-10,31,3.419,23.0
1888-11,30,17.867,60.0
1888-12,31,11.097,35.0
1889-01,31,1.323,25.0
1889-02,28,14.179,43.0
1889-03,31,11.129,42.0
1889-04,30,7.333,27.0
1889-05,31,3.968,23.0
1889-06,30,10.767,35.0
1889-07,31,15.774,47.0
1889-08,31,34.29,82.0
1889-09,30,10.867,30.0
1889-10,31,3.419,18.0
1889-11,30,0.3,5.0
1889-12,31,11.194,40.0
1890-01,31,8.839,33.0
1890-02,28,1.071,20.0
1890-03,31,8.484,30.0
1890-04,30,2.667,23.0
1890-05,31,7.935,40.0
1890-06,30,2.2,22.0
1890-07,31,19.323,50.0
1890-08,31,14.161,60.0
1890-09,30,28.633,70.0
1890-10,31,18.613,58.0
1890-11,30,15.933,47.0
1890-12,31,13.065,43.0
1891-01,31,22.548,77.0
1891-02,28,36.929,67.0
1891-03,31,17.194,43.0
1891-04,30,34.233,68.0
1891-05,31,68.484,127.0
1891-06,30,80.433,140.0
1891-07,31,98.0,187.0
1891-08,31,55.065,110.0
1891-09,30,89.733,200.0
1891-10,31,86.0,152.0
1891-11,30,69.833,123.0
1891-12,31,54.258,115.0
1892-01,31,115.226,192.0
1892-02,29,126.069,220.0
1892-03,31,83.258,163.0
1892-04,30,116.033,277.0
1892-05,31,132.71,222.0
1892-06,30,127.3,205.0
1892-07,31,127.581,205.0
1892-08,31,169.0,240.0
1892-09,30,104.667,173.0
1892-10,31,117.484,223.0
1892-11,30,108.9,183.0
1892-12,31,131.032,260.0
1893-01,31,125.0,250.0
1893-02,28,121.643,190.0
1893-03,31,109.548,205.0
1893-04,30,146.8,248.0
1893-05,31,141.29,235.0
1893-06,30,149.833,263.0
1893-07,31,147.581,328.0
1893-08,31,215.355,395.0
1893-09,30,129.867,178.0
1893-10,31,133.258,207.0
1893-11,30,125.2,232.0
1893-12,31,156.355,303.0
1894-01,31,138.613,237.0
1894-02,28,141.036,223.0
1894-03,31,87.097,177.0
1894-04,30,136.033,200.0
1894-05,31,168.677,310.0
1894-06,30,164.8,262.0
1894-07,31,176.677,262.0
1894-08,31,117.097,187.0
1894-09,30,110.0,203.0
1894-10,31,125.677,247.0
1894-11,30,94.3,160.0
1894-12,31,100.129,183.0
1895-01,31,105.419,222.0
1895-02,28,112.0,200.0
1895-03,31,101.613,172.0
1895-04,30,128.2,230.0
1895-05,31,112.452,258.0
1895-06,30,119.133,192.0
1895-07,31,79.677,162.0
1895-08,31,114.935,233.0
