fecha,hora,clase,latitud_longitud,region_activa,cme_asociada,id,ftrt,ssn,ftrt_join,lag_days,join_method
2026-07-01,23:49,M1.1,S05W19,14478,0,2026-07-01T23:49:00-FLR-001,,,7.742445,-1,±1
2026-07-02,01:37,M4.2,N17W35,14479,1,2026-07-02T01:37:00-FLR-001,,,7.742445,-2,±2
2026-07-02,10:21,M2.8,N17W43,14479,0,2026-07-02T10:21:00-FLR-001,,,7.742445,-2,±2
2026-07-02,23:03,M1.2,N19W47,14479,0,2026-07-02T23:03:00-FLR-001,,,7.742445,-2,±2
2026-07-03,13:03,M1.4,S16W63,14480,0,2026-07-03T13:03:00-FLR-001,,,7.742445,-3,±3
2026-07-03,17:49,M6.7,N15W58,14479,1,2026-07-03T17:49:00-FLR-001,,,7.742445,-3,±3
2026-07-03,18:57,M6.3,S07W53,14478,1,2026-07-03T18:57:00-FLR-001,,,7.742445,-3,±3
2026-07-03,19:28,M1.1,N15W67,14479,0,2026-07-03T19:28:00-FLR-001,,,7.742445,-3,±3
2026-07-03,19:59,M1.5,N15W68,14479,0,2026-07-03T19:59:00-FLR-001,,,7.742445,-3,±3
2026-07-03,23:50,M2.0,S17W70,14480,0,2026-07-03T23:50:00-FLR-001,,,7.742445,-3,±3
2026-07-04,00:13,M2.3,N15W70,14479,0,2026-07-04T00:13:00-FLR-001,,,,,none
2026-07-04,00:59,M2.1,N15W70,14479,0,2026-07-04T00:59:00-FLR-001,,,,,none
2026-07-04,01:52,M1.2,N15W72,14479,0,2026-07-04T01:52:00-FLR-001,,,,,none
2026-07-04,03:21,M3.7,N17W70,14479,0,2026-07-04T03:21:00-FLR-001,,,,,none
2026-07-04,03:40,M4.0,N17W70,14479,0,2026-07-04T03:40:00-FLR-001,,,,,none
2026-07-04,05:04,M1.3,N17W71,14479,0,2026-07-04T05:04:00-FLR-001,,,,,none
2026-07-04,07:48,M1.8,N17W71,14479,0,2026-07-04T07:48:00-FLR-001,,,,,none
2026-07-04,08:41,M1.0,N17W71,14479,0,2026-07-04T08:41:00-FLR-001,,,,,none
2026-07-04,11:04,M3.2,N17W72,14479,0,2026-07-04T11:04:00-FLR-001,,,,,none
2026-07-04,13:41,M3.2,N17W74,14479,0,2026-07-04T13:41:00-FLR-001,,,,,none
2026-07-04,16:02,M1.1,N17W74,14479,0,2026-07-04T16:02:00-FLR-001,,,,,none
2026-07-04,18:36,M1.9,N17W76,14479,0,2026-07-04T18:36:00-FLR-001,,,,,none
2026-07-04,19:23,M1.5,S06W65,14478,1,2026-07-04T19:23:00-FLR-001,,,,,none
2026-07-04,20:29,X1.3,S10E85,14482,1,2026-07-04T20:29:00-FLR-001,,,,,none
2026-07-04,21:12,M2.0,N15W78,14479,0,2026-07-04T21:12:00-FLR-001,,,,,none
2026-07-04,22:16,M1.1,N15W78,14479,0,2026-07-04T22:16:00-FLR-001,,,,,none
2026-07-04,23:45,M1.0,N15W78,14479,0,2026-07-04T23:45:00-FLR-001,,,,,none
2026-07-05,00:24,M1.3,N15W80,14479,0,2026-07-05T00:24:00-FLR-001,,,,,none
2026-07-05,04:19,M1.3,S18W85,14480,0,2026-07-05T04:19:00-FLR-001,,,,,none
2026-07-05,04:41,M1.0,N15W82,14479,0,2026-07-05T04:41:00-FLR-001,,,,,none
2026-07-05,05:21,M2.7,N15W82,14479,0,2026-07-05T05:21:00-FLR-001,,,,,none
2026-07-05,07:21,C9.9,N15W95,14479,1,2026-07-05T07:21:00-FLR-001,,,,,none
2026-07-05,10:56,M1.4,N15W85,14479,0,2026-07-05T10:56:00-FLR-001,,,,,none
2026-07-05,11:12,M1.6,N15W85,14479,0,2026-07-05T11:12:00-FLR-001,,,,,none
2026-07-05,16:21,M1.4,N16W88,14479,1,2026-07-05T16:21:00-FLR-001,,,,,none
2026-07-05,16:41,M1.4,N16W88,14479,0,2026-07-05T16:41:00-FLR-001,,,,,none
2026-07-05,17:51,M5.3,N16W89,14479,0,2026-07-05T17:51:00-FLR-001,,,,,none
2026-07-05,18:56,M1.4,N16W90,14479,0,2026-07-05T18:56:00-FLR-001,,,,,none
2026-07-05,21:14,M1.0,N16W91,14479,0,2026-07-05T21:14:00-FLR-001,,,,,none
2026-07-06,04:55,C6.1,N16W90,14479,1,2026-07-06T04:55:00-FLR-001,,,,,none
2026-07-07,14:09,M4.0,S11E50,14482,1,2026-07-07T14:09:00-FLR-001,,,,,none
2026-07-08,17:49,M1.5,S09E30,14482,0,2026-07-08T17:49:00-FLR-001,,,,,none
2026-07-09,02:17,M1.1,S10E30,14482,0,2026-07-09T02:17:00-FLR-001,,,,,none
2026-07-09,06:51,C2.7,S10W31,14485,1,2026-07-09T06:51:00-FLR-001,,,,,none
2026-07-10,14:33,C6.0,S16W47,14485,1,2026-07-10T14:33:00-FLR-001,,,,,none
2026-07-12,00:28,C5.9,S15W70,14485,1,2026-07-12T00:28:00-FLR-001,,,,,none
2026-07-12,07:17,M1.1,S10W73,14485,1,2026-07-12T07:17:00-FLR-001,,,,,none
2026-07-14,12:18,C3.9,S10E90,,1,2026-07-14T12:18:00-FLR-001,,,,,none
